position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,parallel,16,"(5,3) -> (2,3)",380,4102,0.00791023,0.751477,0.0469673
LAT-ch,5,sequential,1,"(5,3) -> (2,6)",600,61843,0.0628974,1,1
LAT-ch,5,parallel,1,"(5,3) -> (6,3)",600,61699,0.0594634,1.05775,1.05775
LAT-ch,5,parallel,2,"(5,3) -> (0,3)",600,21981,0.0189441,3.32016,1.66008
LAT-ch,5,parallel,4,"(6,2) -> (5,2)",600,53838,0.0536878,1.17154,0.292885
LAT-ch,5,parallel,8,"(6,7) -> (5,7)",600,48642,0.0478306,1.315,0.164375
LAT-ch,5,parallel,16,"(5,3) -> (0,3)",600,25702,0.0225915,2.78411,0.174007
LAT-ch,6,sequential,1,"(5,3) -> (6,3)",380,78189,0.15042,1,1
LAT-ch,6,parallel,1,"(5,3) -> (6,3)",380,98714,0.20092,0.748658,0.748658
LAT-ch,6,parallel,2,"(5,3) -> (0,3)",380,67203,0.137056,1.09751,0.548754
LAT-ch,6,parallel,4,"(6,7) -> (7,7)",380,87022,0.169877,0.885468,0.221367
LAT-ch,6,parallel,8,"(6,7) -> (5,7)",380,116256,0.215778,0.697105,0.0871382
LAT-ch,6,parallel,16,"(6,7) -> (7,7)",380,115264,0.208786,0.720454,0.0450284
LAT-ch,4,sequential,1,"(7,4) -> (5,5)",-500,1486,0.00500608,1,1
LAT-ch,4,parallel,1,"(7,4) -> (5,5)",-500,1534,0.00547799,0.913853,0.913853
LAT-ch,4,parallel,2,"(7,4) -> (5,5)",-500,1534,0.00642724,0.778885,0.389442
LAT-ch,4,parallel,4,"(7,4) -> (5,5)",-500,1534,0.00549403,0.911185,0.227796
LAT-ch,4,parallel,8,"(7,4) -> (5,5)",-500,1534,0.00548892,0.912034,0.114004
LAT-ch,4,parallel,16,"(7,4) -> (5,5)",-500,1534,0.00562409,0.890114,0.0556321
